id,ground_truth
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,1
9,1
10,0
11,1
12,0
13,1
14,2
15,0
16,4
17,2
18,2
19,1
20,0
21,1
22,0
23,0
24,5
25,0
26,2
27,2
28,1
29,1
30,0
31,2
32,4
33,2
34,1
35,3
36,0
37,1
38,1
39,1
40,2
41,0
42,0
43,2
44,0
45,2
46,2
47,1
48,1
49,0
50,2
51,0
52,2
53,2
54,4
55,3
56,0
57,0
58,1
59,1
60,8
61,1
62,1
63,1
64,4
65,0
66,2
67,1
68,0
69,1
70,1
71,0
72,2
73,2
74,0
75,1
76,1
77,0
78,1
79,2
80,2
81,1
82,1
83,0
84,0
85,2
86,2
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,2
96,2
97,1
98,1
99,1
100,0
101,2
102,2
103,2
104,2
105,0
106,0
107,3
108,1
109,2
110,0
111,4
112,2
113,1
114,0
115,2
116,0
117,2
118,3
119,1
120,2
121,2
122,1
123,2
124,1
125,2
126,0
127,0
128,1
129,1
130,2
131,1
132,1
133,2
134,1
135,2
136,1
137,1
138,2
139,0
140,0
141,2
142,1
143,2
144,2
145,2
146,4
147,0
148,0
149,1
150,0
151,2
152,0
153,1
154,3
155,2
156,0
157,0
158,1
159,2
160,0
161,1
162,1
163,2
164,3
165,4
166,1
167,7
168,0
169,8
170,2
171,1
172,1
173,2
174,1
175,0
176,2
177,1
178,0
179,2
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,2
190,2
191,1
192,3
193,0
194,1
195,0
196,2
197,0
198,1
199,2
200,0
201,2
202,2
203,2
204,2
205,0
206,2
207,0
208,1
209,2
210,2
211,0
212,1
213,1
214,1
215,2
216,2
217,0
218,0
219,0
220,2
221,1
222,2
223,0
224,2
225,2
226,0
227,1
228,2
229,2
230,2
231,0
232,2
233,0
234,0
235,2
236,0
237,0
238,2
239,1
240,5
241,2
242,2
243,2
244,0
245,1
246,0
247,2
248,1
249,2
250,3
251,5
252,2
253,0
254,1
255,1
256,2
257,1
258,0
259,2
260,2
261,0
262,2
263,1
264,0
265,1
266,0
267,1
268,1
269,2
270,0
271,0
272,0
273,1
274,4
275,1
276,2
277,2
278,5
279,0
280,2
281,1
282,4
283,2
284,1
285,1
286,2
287,2
288,1
289,1
290,2
291,0
292,4
293,0
294,0
295,0
296,0
297,1
298,0
299,2
300,2
301,1
302,1
303,2
304,0
305,2
306,2
307,0
308,1
309,2
310,0
311,1
312,1
313,2
314,2
315,2
316,1
317,1
318,1
319,0
320,0
321,1
322,2
323,2
324,2
325,0
326,0
327,0
328,0
329,1
330,2
331,5
332,1
333,0
334,0
335,2
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,3
347,1
348,1
349,0
350,0
351,0
352,1
353,2
354,0
355,2
356,1
357,2
358,0
359,2
360,1
361,2
362,0
363,1
364,2
365,0
366,1
367,2
368,2
369,2
370,1
371,0
372,1
373,0
374,2
375,4
376,0
377,2
378,2
379,2
380,2
381,1
382,0
383,1
384,0
385,0
386,1
387,0
388,2
389,0
390,5
391,1
392,2
393,1
394,2
395,1
396,0
397,1
398,1
399,0
400,1
401,2
402,2
403,4
404,0
405,2
406,1
407,0
408,1
409,2
410,0
411,5
412,1
413,2
414,0
415,0
416,1
417,3
418,1
419,0
420,2
421,0
422,2
423,2
424,0
425,1
426,2
427,1
428,2
429,0
430,4
431,2
432,1
433,2
434,1
435,0
436,0
437,2
438,2
439,2
440,2
441,1
442,5
443,3
444,2
445,0
446,0
447,2
448,0
449,2
450,2
451,4
452,1
453,3
454,2
455,0
456,0
457,0
458,1
459,0
460,1
461,3
462,2
463,2
464,0
465,3
466,2
467,0
468,1
469,1
470,5
471,2
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,2
483,3
484,4
485,2
486,2
487,1
488,2
489,1
490,1
491,2
492,2
493,0
494,1
495,2
496,1
497,0
498,1
499,2
500,2
501,2
502,2
503,2
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,2
512,2
513,2
514,2
515,0
516,2
517,1
518,1
519,2
520,0
521,0
522,2
523,1
524,1
525,2
526,0
527,1
528,2
529,0
530,2
531,2
532,2
533,1
534,1
535,5
536,0
537,0
538,0
539,2
540,0
541,2
542,1
543,2
544,2
545,2
546,2
547,1
548,0
549,1
550,5
551,0
552,1
553,0
554,1
555,1
556,2
557,1
558,0
559,1
560,0
561,0
562,2
563,0
564,5
565,0
566,2
567,1
568,2
569,2
570,4
571,0
572,5
573,2
574,2
575,0
576,0
577,1
578,1
579,1
580,1
581,4
582,2
583,2
584,2
585,1
586,0
587,0
588,0
589,2
590,2
591,1
592,2
593,0
594,1
595,0
596,0
597,1
598,1
599,5
600,1
601,2
602,0
603,2
604,1
605,0
606,1
607,2
608,1
609,1
610,2
611,1
612,0
613,0
614,2
615,0
616,1
617,1
618,2
619,1
620,2
621,1
622,0
623,2
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,1
634,3
635,5
636,4
637,4
638,2
639,2
640,0
641,0
642,2
643,0
644,2
645,2
646,0
647,0
648,2
649,1
650,3
651,1
652,1
653,0
654,3
655,1
656,2
657,0
658,2
659,5
660,2
661,0
662,0
663,0
664,2
665,1
666,0
667,1
668,0
669,0
670,1
671,5
672,1
673,2
674,1
675,5
676,1
677,1
678,2
679,0
680,2
681,1
682,2
683,1
684,0
685,0
686,5
687,2
688,1
689,3
690,0
691,0
692,2
693,2
694,2
695,0
696,2
697,0
698,2
699,0
700,2
701,0
702,2
703,0
704,2
705,2
706,0
707,1
708,1
709,0
710,2
711,2
712,3
713,1
714,2
715,1
716,2
717,3
718,1
719,1
720,1
721,2
722,1
723,2
724,2
725,2
726,2
727,1
728,1
729,2
730,2
731,2
732,3
733,0
734,1
735,0
736,1
737,0
738,1
739,2
740,2
741,2
742,0
743,0
744,0
745,2
746,2
747,2
748,2
749,1
750,5
751,2
752,0
753,3
754,0
755,2
756,1
757,1
758,1
759,2
760,0
761,3
762,2
763,6
764,1
765,1
766,2
767,0
768,2
769,2
770,5
771,3
772,0
773,2
774,0
775,2
776,2
777,0
778,2
779,2
780,1
781,1
782,2
783,2
784,0
785,0
786,2
787,0
788,2
789,0
790,2
791,4
792,0
793,0
794,0
795,2
796,2
797,4
798,5
799,2
800,0
801,4
802,2
803,1
804,2
805,0
806,1
807,2
808,2
809,1
810,1
811,0
812,1
813,5
814,2
815,5
816,1
817,4
818,2
819,0
820,0
821,0
822,1
823,2
824,0
825,0
826,2
827,2
828,2
829,3
830,0
831,1
832,1
833,1
834,1
835,2
836,0
837,1
838,1
839,1
840,8
841,2
842,2
843,2
844,1
845,0
846,2
847,2
848,2
849,2
850,3
851,1
852,2
853,0
854,2
855,2
856,0
857,1
858,1
859,1
860,1
861,1
862,1
863,8
864,1
865,2
866,1
867,2
868,1
869,2
870,0
871,2
872,1
873,2
874,0
875,2
876,2
877,2
878,0
879,1
880,1
881,2
882,1
883,1
884,1
885,1
886,2
887,1
888,1
889,0
890,5
891,0
892,0
893,2
894,1
895,3
896,2
897,4
898,0
899,2
900,1
901,1
902,0
903,0
904,5
905,0
906,2
907,2
908,2
909,1
910,1
911,2
912,1
913,1
914,1
915,0
916,0
917,0
918,1
919,1
920,2
921,2
922,1
923,0
924,1
925,0
926,2
927,2
928,2
929,2
930,1
931,2
932,2
933,4
934,0
935,2
936,1
937,2
938,2
939,2
940,0
941,2
942,2
943,1
944,1
945,2
946,3
947,2
948,1
949,1
950,2
951,3
952,2
953,1
954,0
955,2
956,2
957,1
958,1
959,2
960,0
961,2
962,1
963,2
964,0
965,2
966,1
967,2
968,1
969,2
970,5
971,2
972,1
973,4
974,1
975,2
976,2
977,4
978,1
979,2
980,1
981,2
982,4
983,2
984,3
985,0
986,0
987,1
988,0
989,3
990,1
991,1
992,0
993,0
994,0
995,5
996,2
997,2
998,1
999,2
1000,1
1001,0
1002,0
1003,0
1004,0
1005,2
1006,0
1007,2
1008,1
1009,1
1010,2
1011,0
1012,2
1013,1
1014,2
1015,2
1016,1
1017,1
1018,4
1019,1
1020,2
1021,3
1022,1
1023,2
1024,0
1025,1
1026,0
1027,2
1028,0
1029,2
1030,0
1031,0
1032,2
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,0
1040,2
1041,5
1042,2
1043,0
1044,0
1045,1
1046,2
1047,1
1048,0
1049,1
1050,2
1051,1
1052,1
1053,0
1054,5
1055,4
1056,2
1057,3
1058,1
1059,0
