id,ground_truth
0,226
1,108
2,246
3,8
4,232
5,89
6,160
7,195
8,232
9,251
10,218
11,223
12,41
13,284
14,212
15,145
16,156
17,193
18,49
19,56
20,191
21,270
22,196
23,20
24,70
25,174
26,71
27,66
28,253
29,15
30,112
31,34
32,194
33,221
34,150
35,24
36,244
37,284
38,42
39,183
40,56
41,235
42,70
43,153
44,142
45,132
46,9
47,92
48,252
49,235
50,26
51,87
52,91
53,226
54,65
55,221
56,235
57,100
58,88
59,82
60,106
61,118
62,150
63,26
64,91
65,40
66,85
67,247
68,32
69,101
70,127
71,69
72,109
73,195
74,166
75,32
76,2
77,120
78,160
79,86
80,77
81,42
82,24
83,267
84,121
85,150
86,279
87,184
88,254
89,141
90,218
91,17
92,244
93,194
94,129
95,255
96,271
97,6
98,94
99,30
100,146
101,65
102,202
103,137
104,213
105,33
106,106
107,14
108,64
109,144
110,191
111,122
112,280
113,225
114,66
115,252
116,83
117,93
118,241
119,206
120,218
121,45
122,9
123,55
124,222
125,53
126,229
127,140
128,51
129,258
130,276
131,6
132,182
133,78
134,182
135,6
136,190
137,39
138,3
139,63
140,224
141,170
142,6
143,30
144,95
145,111
146,41
147,105
148,0
149,196
150,244
151,9
152,109
153,258
154,224
155,0
156,61
157,265
158,18
159,179
160,72
161,96
162,279
163,75
164,77
165,237
166,80
167,27
168,163
169,163
170,57
171,192
172,76
173,77
174,135
175,41
176,33
177,285
178,115
179,284
180,64
181,210
182,197
183,106
184,242
185,210
186,47
187,186
188,61
189,150
190,25
191,168
192,191
193,174
194,58
195,75
196,178
197,141
198,40
199,65
200,220
201,188
202,175
203,101
204,34
205,14
206,218
207,37
208,99
209,74
210,170
211,188
212,153
213,41
214,243
215,126
216,87
217,92
218,222
219,263
220,274
221,35
222,199
223,101
224,103
225,175
226,26
227,1
228,29
229,232
230,55
231,61
232,283
233,61
234,263
235,66
236,16
237,31
238,188
239,54
240,25
241,11
242,55
243,53
244,94
245,239
246,164
247,43
248,56
249,261
250,196
251,75
252,192
253,70
254,10
255,164
256,103
257,0
258,0
259,41
260,196
261,69
262,7
263,114
264,224
265,113
266,9
267,105
268,122
269,97
270,213
271,213
272,143
273,61
274,6
275,23
276,57
277,246
278,136
279,82
280,30
281,63
282,52
283,267
284,164
285,26
