id,ground_truth
0,10
1,4
2,0
3,2
4,8
5,8
6,10
7,7
8,6
9,2
10,9
11,15
12,8
13,3
14,6
15,15
16,11
17,6
18,14
19,7
20,1
21,11
22,10
23,7
24,3
25,9
26,0
27,7
28,7
29,1
30,8
31,1
32,13
33,12
34,14
35,2
36,15
37,13
38,12
39,2
40,12
41,13
42,4
43,1
44,9
45,2
46,7
47,5
48,11
49,3
50,3
51,7
52,11
53,2
54,1
55,8
56,0
57,4
58,2
59,12
60,0
61,5
62,6
63,5
64,3
65,12
66,1
67,0
68,0
69,12
70,14
71,5
72,1
73,9
74,4
75,0
76,1
77,0
78,14
79,6
80,1
81,2
82,10
83,10
84,0
85,4
86,3
87,8
88,1
89,15
90,3
91,1
92,2
93,0
94,2
95,0
96,2
97,4
98,0
99,8
100,9
101,0
102,9
103,10
104,2
105,11
106,1
107,9
108,1
109,5
110,5
111,0
112,15
113,5
114,2
115,2
116,13
117,11
118,13
119,4
120,5
121,3
122,1
123,6
124,12
125,1
126,2
127,6
128,13
129,7
130,13
131,15
132,9
133,7
134,1
135,10
136,7
137,1
138,11
139,9
140,10
141,0
142,7
143,0
144,1
145,11
146,13
147,2
148,0
149,2
150,7
151,9
152,13
153,10
154,7
155,8
156,14
157,12
158,13
159,2
160,1
161,4
162,8
163,14
164,1
165,8
166,10
167,13
168,1
169,4
170,0
171,4
172,4
173,0
174,4
175,4
176,2
177,14
178,15
179,12
180,3
181,3
182,0
183,6
184,6
185,3
186,2
187,10
188,4
189,6
190,12
191,2
192,1
193,5
194,11
195,6
196,0
197,0
198,1
199,5
200,2
201,5
202,8
203,1
204,1
205,1
206,3
207,8
208,5
209,11
210,4
211,0
212,2
213,2
214,5
215,12
216,0
217,0
218,0
219,11
220,1
221,4
222,5
223,3
224,4
225,6
226,7
227,2
228,2
229,3
230,13
231,6
232,5
233,1
234,13
235,15
236,8
237,10
238,0
239,0
240,9
241,5
242,3
243,15
244,13
245,9
246,7
247,3
248,11
249,9
250,4
251,5
252,7
253,2
254,1
255,10
256,4
257,15
258,3
259,6
260,15
261,4
262,10
263,10
264,1
265,15
266,13
267,11
268,14
269,1
270,0
271,10
272,0
273,2
274,2
275,7
276,7
277,9
278,0
279,3
280,1
281,2
282,0
283,10
284,1
285,3
286,12
287,2
288,0
289,12
290,1
291,2
292,11
293,1
294,13
295,3
296,2
297,4
298,2
299,8
300,7
301,7
302,14
303,4
304,2
305,1
306,4
307,3
308,1
309,11
310,4
311,15
312,3
313,7
314,0
315,4
316,2
317,5
318,8
319,0
320,3
321,2
322,3
323,2
324,12
325,8
326,12
327,3
328,5
329,0
330,13
331,2
332,12
333,14
334,4
335,8
336,6
337,1
338,14
339,2
340,4
341,11
342,0
343,0
344,5
345,11
346,4
347,15
348,10
349,6
350,4
351,0
352,2
353,15
354,10
355,0
356,3
357,6
358,12
359,0
360,6
361,9
362,3
363,3
364,11
365,2
366,5
367,6
368,11
369,5
370,9
371,5
372,4
373,1
374,15
375,15
376,3
377,4
378,15
379,2
380,9
381,6
382,0
383,7
384,1
385,9
386,13
387,6
388,10
389,7
390,7
391,4
392,5
393,9
394,1
395,9
396,9
397,8
398,2
399,10
400,1
401,14
402,0
403,14
404,1
405,2
406,13
407,1
408,11
409,2
410,12
411,12
412,14
413,11
414,0
415,9
416,14
417,1
418,2
419,10
420,0
421,1
422,4
423,0
424,0
425,1
426,2
427,9
428,2
429,14
430,0
431,1
432,11
433,14
434,11
435,0
436,8
437,12
438,2
439,3
440,7
441,13
442,1
443,3
444,1
445,6
446,0
447,5
448,1
449,7
450,2
451,2
452,3
453,5
454,8
455,12
456,10
457,0
458,0
459,8
460,6
461,12
462,8
463,1
464,14
465,2
466,0
467,8
468,1
469,1
470,3
471,14
472,6
473,5
474,0
475,15
476,6
477,0
478,3
479,5
480,6
481,15
482,0
483,3
484,8
485,1
486,10
487,14
488,13
489,6
490,8
491,9
492,1
493,5
494,2
495,9
496,5
497,4
498,5
499,0
