id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,4,4,4,0,1,0,0,0,0,18,17
1,1,2,2,2,2,0,2,0,0,2,0,3,0,1,6,6,5,2,2,2,1,0,0,20,19
2,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
3,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,17,16
4,4,0,5,5,5,5,5,3,3,6,5,5,3,1,8,8,8,5,5,5,4,3,0,5,20
5,5,1,3,3,3,4,3,2,2,5,3,4,1,2,0,1,7,4,3,4,3,2,0,3,3
6,6,4,7,7,7,7,7,0,5,3,6,7,6,0,3,2,2,7,7,7,5,0,0,12,21
7,7,3,6,6,6,6,6,4,4,8,7,8,4,3,1,1,1,6,6,6,8,4,0,11,10
8,1,2,2,2,2,0,2,0,0,2,0,3,5,0,6,6,5,2,2,2,1,0,0,20,19
9,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
10,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,20,19
11,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,20,19
12,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
13,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
14,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,20,19
15,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
16,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
17,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
18,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
19,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
20,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
21,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
22,0,1,1,1,1,1,1,0,0,1,1,1,0,1,4,4,4,0,1,0,0,0,0,18,17
23,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
24,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
25,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
26,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,17,16
27,1,2,2,2,2,0,2,0,0,2,0,3,0,1,6,6,5,2,2,2,1,0,0,20,19
28,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
29,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,20,19
30,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
31,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
32,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
33,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,19,18
34,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,20,19
35,4,0,5,5,5,5,5,3,3,6,5,5,3,1,8,8,8,5,5,5,4,3,0,5,20
36,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
37,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
38,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
39,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,18,17
40,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
41,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,19,18
42,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
43,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
44,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
45,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
46,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
47,0,1,1,1,1,1,1,0,0,1,1,1,0,1,4,4,4,0,1,0,0,0,0,16,11
48,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
49,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
50,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
51,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
52,3,2,4,4,4,3,4,1,1,4,4,6,2,0,7,7,6,3,4,3,8,1,0,17,16
53,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,17,16
54,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,8
55,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
56,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
57,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
58,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
59,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
60,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
61,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
62,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
63,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
64,1,1,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
65,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
66,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
67,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
68,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
69,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
70,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
71,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
72,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
73,3,2,4,4,4,3,4,1,1,4,4,6,2,0,7,7,6,3,4,3,8,1,0,17,16
74,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
75,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
76,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
77,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
78,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
79,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
80,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
81,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
82,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
83,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
84,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
85,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
86,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,17,16
87,0,1,1,1,1,1,1,0,0,1,1,1,0,1,4,4,4,0,1,0,0,0,0,16,11
88,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
89,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
90,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
91,5,1,3,3,3,4,3,2,2,5,3,4,1,2,0,0,7,4,3,4,3,2,0,3,3
92,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,8
93,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
94,5,1,3,3,3,4,3,2,2,5,3,4,1,2,0,0,7,4,3,4,3,2,0,3,3
95,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
96,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
97,4,0,5,5,5,5,5,3,3,0,5,5,3,1,8,8,8,5,5,5,4,3,0,5,20
98,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
99,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
100,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
101,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
102,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
103,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,8
104,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
105,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
106,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,10,9
107,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
108,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
109,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
110,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
111,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
112,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,10,9
113,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
114,1,2,2,2,2,0,2,0,0,3,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
115,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
116,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
117,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
118,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
119,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
120,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
121,5,1,3,3,3,4,3,2,2,0,3,4,1,2,0,0,7,4,3,4,3,2,0,3,3
122,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
123,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
124,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
125,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
126,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
127,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
128,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,17,16
129,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,15,15
130,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
131,3,2,4,4,4,3,4,1,1,4,4,6,2,1,7,7,6,3,4,3,8,1,0,4,4
132,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,8
133,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,7,6
134,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,9,11
135,2,0,0,0,0,2,0,0,0,0,2,2,0,0,5,5,3,1,0,1,2,0,0,15,15
136,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
137,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,13,13
138,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
139,0,1,1,1,1,1,1,0,0,1,1,1,0,0,4,4,4,0,1,0,0,0,0,16,11
140,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
141,1,2,2,2,2,0,2,0,0,2,0,3,0,0,6,6,5,2,2,2,1,0,0,8,7
142,2,0,0,0,0,2,0,0,0,0,2,2,0,1,5,5,3,1,0,1,2,0,0,10,9
