id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,3,9,13,8,1,8,0,0,-1,8,6,8,0,3,3,4,8,13,7,4,0,0,9,15
1,1,5,10,11,15,0,20,8,9,-1,9,9,7,0,2,5,1,9,6,9,3,8,0,10,11
2,2,5,10,16,9,0,11,6,7,-1,7,8,7,0,2,4,9,7,8,8,2,6,0,8,9
3,3,3,12,23,14,0,19,4,6,-1,4,5,6,0,3,3,4,6,10,4,4,5,0,6,7
4,4,3,9,22,17,0,16,0,4,-1,5,3,5,0,3,3,4,5,13,5,4,0,0,4,5
5,5,3,11,21,11,0,18,3,5,-1,6,4,4,0,2,5,1,4,6,6,9,4,0,5,6
6,6,3,8,17,12,1,14,2,2,-1,2,2,3,0,5,7,6,2,12,3,5,3,0,3,3
7,7,7,6,12,13,2,13,1,1,-1,1,1,1,0,7,8,7,1,11,1,3,1,0,1,1
8,8,6,7,18,4,0,6,0,3,-1,3,7,2,0,6,9,8,3,3,2,4,2,0,2,2
9,9,1,3,6,5,0,4,0,0,-1,0,0,0,0,4,6,5,0,6,0,0,0,0,13,14
10,9,1,5,2,14,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,13,13
11,9,1,2,2,0,0,5,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,13
12,9,3,5,13,8,0,8,0,0,-1,0,0,0,0,4,6,5,0,5,0,0,0,0,13,13
13,9,4,3,8,1,0,12,0,0,-1,0,0,0,0,4,6,5,0,10,0,0,0,0,13,13
14,9,1,3,1,1,0,3,0,0,-1,0,0,0,0,4,6,5,0,4,0,0,0,0,13,14
15,9,1,4,3,4,0,1,0,0,-1,0,0,0,0,4,6,5,0,3,0,0,0,0,13,14
16,9,1,4,4,15,0,3,0,0,-1,0,0,0,0,4,6,5,0,8,0,0,0,0,13,14
17,9,6,4,3,4,0,6,0,0,-1,0,0,0,0,4,6,5,0,3,0,0,0,0,13,14
18,9,1,5,1,16,0,3,0,0,-1,0,0,0,0,4,6,5,0,2,0,0,0,0,13,14
19,9,1,5,16,9,0,11,0,0,-1,0,0,0,0,4,6,5,0,8,0,0,0,0,13,14
20,9,0,2,0,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,12
21,9,0,2,19,18,0,9,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,12
22,9,1,2,1,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,13
23,1,5,10,11,15,0,20,8,9,-1,9,9,7,0,2,2,2,9,6,9,3,8,0,10,11
24,9,0,0,9,1,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,13
25,9,1,1,3,0,0,10,0,0,-1,0,0,0,0,4,6,5,0,2,0,0,0,0,11,13
26,9,1,4,1,11,0,9,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,13,13
27,9,1,2,1,10,0,2,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,12
28,9,2,3,5,1,0,3,0,0,-1,0,0,0,0,4,6,5,0,7,0,0,0,0,11,13
29,9,0,1,5,2,0,7,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,13
30,9,0,2,15,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,13
31,9,1,4,1,4,0,6,0,0,-1,0,0,0,0,4,6,5,0,3,0,0,0,0,13,14
32,9,5,2,7,1,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,13,14
33,9,0,0,0,2,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,12
34,9,1,2,8,3,0,1,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,13
35,9,1,4,11,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,12
36,9,4,2,0,6,0,1,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,13
37,9,0,2,0,0,0,2,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,12
38,9,0,1,10,3,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,12
39,9,0,0,0,0,0,2,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,12
40,9,1,2,10,1,0,2,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,13
41,9,0,0,0,6,0,1,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,7,8
42,9,1,1,2,0,0,3,0,0,-1,0,0,0,0,4,6,5,0,1,0,0,0,0,11,12
43,3,3,12,23,14,0,19,4,6,-1,4,5,6,0,3,3,4,6,10,4,4,5,0,6,7
44,9,0,1,4,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,13
45,9,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,7,8
46,9,0,0,1,0,0,1,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,7,8
47,9,0,0,0,0,0,2,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,7,8
48,9,0,0,0,2,0,2,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,8
49,9,0,0,0,0,0,1,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,11,8
50,9,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,6,5,0,0,0,0,0,0,7,8
