id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,13,2,13,13,13,13,13,13,11,1,13,13,13,1,13,13,13,13,12,13,11,2,0,14,14
1,9,3,8,8,8,8,8,9,9,9,8,8,8,1,9,10,8,8,8,8,9,0,0,9,9
2,13,2,13,13,13,13,13,13,11,0,13,13,13,1,13,13,13,13,12,13,11,2,0,14,14
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
4,12,3,11,12,11,12,12,12,10,3,11,11,11,1,12,4,11,11,13,10,4,3,3,12,12
5,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,2,6,6
6,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,3,7,7
7,5,4,5,5,5,4,5,5,16,5,5,5,5,2,5,6,5,5,5,5,6,6,2,6,6
8,4,4,4,4,4,6,4,4,4,4,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
9,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,0,6,6
10,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,2,6,6
11,9,3,8,8,8,8,8,9,9,9,8,8,8,2,9,10,8,8,8,8,9,0,1,9,9
12,9,3,8,8,8,8,8,9,9,9,8,8,8,2,9,10,8,8,8,8,9,0,2,9,9
13,3,3,2,3,2,2,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,4,1,2,2
14,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
15,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,1,6,6
16,2,2,3,2,3,3,2,2,3,6,3,3,3,1,3,1,3,3,3,3,3,5,2,3,3
17,8,2,9,9,9,7,9,8,8,2,9,9,9,0,8,9,9,9,9,9,12,0,0,10,10
18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1
19,11,1,12,11,12,11,11,11,12,2,12,12,12,0,11,4,12,12,11,11,4,2,0,13,13
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,1
21,12,3,11,12,11,12,12,12,10,11,11,11,11,1,12,4,11,11,13,10,4,3,0,12,12
22,2,2,3,2,3,3,2,2,3,6,3,3,3,1,3,1,3,3,3,3,3,5,1,3,3
23,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
24,2,2,3,2,3,3,2,2,3,5,3,3,3,1,3,1,3,3,3,3,3,5,1,3,3
25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
27,9,3,8,8,8,8,8,9,9,2,8,8,8,1,9,10,8,8,8,8,9,0,1,9,9
28,8,2,9,9,9,7,9,8,8,2,9,9,9,0,8,9,9,9,9,9,12,0,0,10,10
29,11,1,12,11,12,11,11,11,12,1,12,12,12,1,11,4,12,12,11,11,4,2,0,13,13
30,12,3,11,12,11,12,12,12,10,4,11,11,11,1,12,4,11,11,13,10,4,3,2,12,12
31,7,1,7,7,7,9,7,7,7,2,7,7,7,0,7,8,7,7,7,7,8,7,0,8,8
32,8,2,9,9,9,7,9,8,8,2,9,9,9,0,8,9,9,9,9,9,13,0,0,10,10
33,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
34,3,3,2,3,2,2,3,3,2,8,2,2,2,0,2,2,2,2,2,2,2,4,0,2,2
35,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,12,1,1,1,1,1,0,1,0,0
36,9,3,8,8,8,8,8,9,9,9,8,8,8,1,9,10,8,8,8,8,9,0,0,9,9
37,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
38,12,1,11,12,11,12,12,12,10,0,11,11,11,1,12,4,11,11,13,10,4,3,0,12,12
39,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,2,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
41,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
42,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
43,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,1,5,5
44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
46,12,3,11,12,11,12,12,12,10,0,11,11,11,1,12,4,11,11,13,10,4,3,3,12,12
47,4,4,4,4,4,2,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1
49,11,1,12,11,12,5,11,11,20,7,12,12,12,1,11,4,12,12,11,11,4,2,0,13,13
50,12,3,11,12,11,12,12,12,10,3,11,11,11,1,12,4,11,11,13,10,4,3,0,12,12
51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
52,11,1,12,11,12,11,11,11,12,3,12,12,12,1,11,4,12,12,11,11,4,2,0,13,13
53,10,0,10,10,10,10,10,10,13,12,10,10,10,0,10,11,10,10,10,12,10,8,0,11,11
54,3,3,2,3,2,2,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,4,0,2,2
55,2,2,3,2,3,3,2,2,3,5,3,3,3,2,3,1,3,3,3,3,3,5,1,3,3
56,2,2,3,2,3,3,2,2,3,6,3,3,3,0,3,1,3,3,3,3,3,5,2,3,3
57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
59,11,1,12,11,12,11,11,11,12,2,12,12,12,1,11,4,12,12,11,11,4,2,0,13,13
60,3,3,2,3,2,2,3,3,2,4,2,2,2,0,2,2,2,2,2,2,2,4,1,2,2
61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1
62,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,0,7,7
63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
64,2,2,3,2,3,3,2,2,3,5,3,3,3,1,3,1,3,3,3,3,3,5,2,3,3
65,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
67,8,2,9,9,9,7,9,8,8,8,9,9,9,0,8,9,9,9,9,9,12,0,0,10,10
68,2,2,3,2,3,3,2,2,3,5,3,3,3,1,3,1,3,3,3,3,3,5,2,3,3
69,2,2,3,2,3,3,2,2,3,6,3,3,3,1,3,1,3,3,3,3,3,5,1,3,3
70,7,1,7,7,7,0,7,7,7,0,7,7,7,0,7,8,7,7,7,7,8,7,4,8,8
71,13,2,13,13,13,13,13,13,11,1,13,13,13,1,13,13,13,13,12,13,11,2,0,14,14
72,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
73,11,1,12,11,12,11,11,11,12,0,12,12,12,0,11,4,12,12,11,11,4,2,6,13,13
74,8,2,9,9,9,7,9,8,8,1,9,9,9,0,8,9,9,9,9,9,12,0,1,10,10
75,2,2,3,2,3,3,2,2,3,6,3,3,3,0,3,1,3,3,3,3,3,5,1,3,3
76,13,2,13,13,13,13,13,13,11,0,13,13,13,1,13,13,13,13,12,13,11,2,0,14,14
77,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
78,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,0,6,6
79,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,0,7,7
80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1
81,11,1,12,11,12,11,11,11,12,2,12,12,12,0,11,4,12,12,11,11,4,2,0,13,13
82,3,3,2,3,2,2,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,4,0,2,2
83,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,5,7,7
84,13,2,13,13,13,13,13,13,11,1,13,13,13,2,13,13,13,13,12,13,11,2,0,14,14
85,2,2,3,2,3,3,2,2,3,6,3,3,3,1,3,1,3,3,3,3,3,5,2,3,3
86,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,1,5,5
87,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
88,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,0,7,7
89,13,2,13,13,13,13,13,13,11,0,13,13,13,1,13,13,13,13,12,13,11,2,3,14,14
90,3,3,2,3,2,2,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,4,0,2,2
91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,4
92,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
93,9,3,8,8,8,8,8,9,9,2,8,8,8,1,9,10,8,8,8,8,9,0,1,9,9
94,8,2,9,9,9,7,9,8,8,2,9,9,9,0,8,9,9,9,9,9,12,0,1,10,10
95,5,4,5,5,5,5,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,2,6,6
96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
97,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,1,5,5
98,12,3,11,12,11,12,12,12,10,4,11,11,11,1,12,4,11,11,13,10,4,3,2,12,12
99,9,2,8,8,8,3,8,9,21,5,8,8,8,2,9,10,8,8,8,8,9,0,2,9,9
100,10,0,10,10,10,10,10,10,17,0,10,10,10,0,10,11,10,10,10,12,10,8,0,11,11
101,8,0,9,9,9,7,9,8,8,8,9,9,9,0,8,9,9,9,9,9,12,0,7,10,10
102,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,1,0,0
103,12,3,11,12,11,12,12,12,10,11,11,11,11,2,12,4,11,11,13,10,4,3,0,12,12
104,12,3,11,12,11,12,12,12,10,2,11,11,11,1,12,4,11,11,13,10,4,3,0,12,12
105,6,5,6,6,6,0,6,6,27,1,6,6,6,2,6,7,6,6,6,6,7,3,3,7,7
106,7,0,7,7,7,10,7,7,7,10,7,7,7,0,7,8,7,7,7,7,8,7,9,8,8
107,10,0,10,10,10,10,10,10,13,0,10,10,10,0,10,11,10,10,10,12,10,8,0,11,11
108,12,3,11,12,11,8,12,12,10,2,11,11,11,1,12,4,11,11,13,10,4,3,0,12,12
109,7,1,7,7,7,9,7,7,7,4,7,7,7,1,7,8,7,7,7,7,8,7,2,8,8
110,13,2,13,13,13,13,13,13,11,1,13,13,13,2,13,13,13,13,12,13,11,2,0,14,14
111,3,3,2,3,2,2,3,3,2,4,2,2,2,0,2,2,2,2,2,2,2,4,1,2,2
112,10,0,10,10,10,10,10,10,13,1,10,10,10,1,10,11,10,10,10,12,10,8,2,11,11
113,2,2,3,2,3,3,2,2,3,5,3,3,3,1,3,1,3,3,3,3,3,5,2,3,3
114,6,5,6,6,6,5,6,6,5,2,6,6,6,1,6,7,6,6,6,6,7,3,3,7,7
115,6,5,6,6,6,5,6,6,5,7,6,6,6,2,6,7,6,6,6,6,7,3,0,7,7
116,10,0,10,10,10,10,10,10,13,2,10,10,10,1,10,11,10,10,10,12,10,8,0,11,11
117,9,3,8,8,8,8,8,9,9,9,8,8,8,2,9,10,8,8,8,8,9,0,0,9,9
118,0,0,0,0,0,2,0,0,38,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1
119,10,0,10,10,10,10,10,10,13,0,10,10,10,0,10,11,10,10,10,12,10,8,0,11,11
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1
121,2,2,3,2,3,3,2,2,3,5,3,3,3,1,3,1,3,3,3,3,3,5,1,3,3
122,5,4,5,5,5,4,5,5,6,4,5,5,5,2,5,6,5,5,5,5,6,6,0,6,6
123,1,0,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,0,2,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4,4
125,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1
126,4,4,4,4,4,6,4,4,4,3,4,4,4,2,4,5,4,4,4,4,5,2,0,5,5
127,9,3,8,8,8,9,8,9,9,9,8,8,8,1,9,10,8,8,8,8,9,0,0,9,9
