id,ground_truth
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
